% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0262143	1	1	2	6.73585e-11	142004	0
0.0262143	1	2	1	3.36092e-11	70854.5	0
0.0262143	1	3	3	3.36092e-11	70854.5	0
0.0262143	1	4	4	3.36092e-11	70854.5	0
0.0272143	1	1	2	6.73639e-11	142016	0
0.0272143	1	2	1	3.36092e-11	70854.5	0
0.0272143	1	3	3	3.36092e-11	70854.5	0
0.0272143	1	4	4	3.36092e-11	70854.5	0
0.0282143	1	1	2	6.73693e-11	142027	0
0.0282143	1	2	1	3.36092e-11	70854.5	0
0.0282143	1	3	3	3.36092e-11	70854.5	0
0.0282143	1	4	4	3.36092e-11	70854.5	0
0.0292143	1	1	2	6.73747e-11	142038	0
0.0292143	1	2	1	3.36092e-11	70854.5	0
0.0292143	1	3	3	3.36092e-11	70854.5	0
0.0292143	1	4	4	3.36092e-11	70854.5	0
0.0302143	1	1	2	6.73801e-11	142050	0
0.0302143	1	2	1	3.36092e-11	70854.5	0
0.0302143	1	3	3	3.36092e-11	70854.5	0
0.0302143	1	4	4	3.36092e-11	70854.5	0
0.0312143	1	1	2	6.73855e-11	142061	0
0.0312143	1	2	1	3.36092e-11	70854.5	0
0.0312143	1	3	3	3.36092e-11	70854.5	0
0.0312143	1	4	4	3.36092e-11	70854.5	0
0.0322143	1	1	2	6.73909e-11	142072	0
0.0322143	1	2	1	3.36092e-11	70854.5	0
0.0322143	1	3	3	3.36092e-11	70854.5	0
0.0322143	1	4	4	3.36092e-11	70854.5	0
0.0332143	1	1	2	6.73963e-11	142084	0
0.0332143	1	2	1	3.36092e-11	70854.5	0
0.0332143	1	3	3	3.36092e-11	70854.5	0
0.0332143	1	4	4	3.36092e-11	70854.5	0
0.0342143	1	1	2	6.74017e-11	142095	0
0.0342143	1	2	1	3.36092e-11	70854.5	0
0.0342143	1	3	3	3.36092e-11	70854.5	0
0.0342143	1	4	4	3.36092e-11	70854.5	0
0.0352143	1	1	2	6.74071e-11	142107	0
0.0352143	1	2	1	3.36092e-11	70854.5	0
0.0352143	1	3	3	3.36092e-11	70854.5	0
0.0352143	1	4	4	3.36092e-11	70854.5	0
0.0362143	1	1	2	6.74125e-11	142118	0
0.0362143	1	2	1	3.36092e-11	70854.5	0
0.0362143	1	3	3	3.36092e-11	70854.5	0
0.0362143	1	4	4	3.36092e-11	70854.5	0
0.0372143	1	1	2	6.74179e-11	142129	0
0.0372143	1	2	1	3.36092e-11	70854.5	0
0.0372143	1	3	3	3.36092e-11	70854.5	0
0.0372143	1	4	4	3.36092e-11	70854.5	0
0.0382143	1	1	2	6.74233e-11	142141	0
0.0382143	1	2	1	3.36092e-11	70854.5	0
0.0382143	1	3	3	3.36092e-11	70854.5	0
0.0382143	1	4	4	3.36092e-11	70854.5	0
0.0392143	1	1	2	6.74287e-11	142152	0
0.0392143	1	2	1	3.36092e-11	70854.5	0
0.0392143	1	3	3	3.36092e-11	70854.5	0
0.0392143	1	4	4	3.36092e-11	70854.5	0
0.0402143	1	1	2	6.74341e-11	142164	0
0.0402143	1	2	1	3.36092e-11	70854.5	0
0.0402143	1	3	3	3.36092e-11	70854.5	0
0.0402143	1	4	4	3.36092e-11	70854.5	0
0.0412143	1	1	2	6.74395e-11	142175	0
0.0412143	1	2	1	3.36092e-11	70854.5	0
0.0412143	1	3	3	3.36092e-11	70854.5	0
0.0412143	1	4	4	3.36092e-11	70854.5	0
